OBJECTID,GEOID10,COUNTYFP10,TRACTCE10,Cnty_Name,City_Name,ZIP,Acres,SqMi,Pop_16,Pop_Den,Pop_Src,Pop_10,White_Pct,Black_Pct,Asian_Pct,Latino_Pct,Mltpl_Pct,NatAm_Pct,PacIs_Pct,Other_Pct,NonWhite_P,Race_Src,Elders_Pct,Elders_Rpt,Elders_Src,SpksEng_Pc,SpksEng_Rp,SpksEng_Sr,UnEmp_Rate,Emp_15,Emp_Den,Emp_Src,Income_Pct,Income_Rpt,Income_Src,Under19_Pc,MHI2016
131,06059110012,059,110012,Orange,Seal Beach,90740,573.628457,0.896294,5062,5648,ACS_16_5YR,5012,72.068966,0,13.935091,11.034483,2.96146,0,0,0,27.931034,2147 HPI,23.6,2011-2015,ACS_15_5YR_S0101,97.712766,2011-2015,ACS_15_5YR_B16002,0.055814,1531,1708.143989,LEHD 2015,103785,2011-2015,ACS_15_5YR_DP03,23.1,110093
132,06059110005,059,110005,Orange,Garden Grove,92845,260.096074,0.4064,3081,7581,ACS_16_5YR,3124,76.383764,0,8.92318,14.693056,0,0,0,0,23.616236,2148 HPI,23.2,2011-2015,ACS_15_5YR_S0101,96.648551,2011-2015,ACS_15_5YR_B16002,0.066627,277,681.594295,LEHD 2015,96420,2011-2015,ACS_15_5YR_DP03,21.5,89815
133,06059086702,059,086702,Orange,Anaheim,92801,283.922255,0.443629,7322,16505,ACS_16_5YR,7094,14.791134,4.362035,11.665246,67.504973,1.676613,0,0,0,85.208866,2149 HPI,6,2011-2015,ACS_15_5YR_S0101,82.886266,2011-2015,ACS_15_5YR_B16002,0.119502,1158,2610.292032,LEHD 2015,48795,2011-2015,ACS_15_5YR_DP03,36.1,54683
134,06059110104,059,110104,Orange,Cypress,90630,440.470758,0.688236,5668,8236,ACS_16_5YR,6024,40.608797,2.642582,39.270781,14.634554,2.843285,0,0,0,59.391203,2150 HPI,14.2,2011-2015,ACS_15_5YR_S0101,74.410959,2011-2015,ACS_15_5YR_B16002,0.087107,1804,2621.195572,LEHD 2015,59607,2011-2015,ACS_15_5YR_DP03,26.5,65368
135,06059032055,059,032055,Orange,Rancho Santa Margarita,92688,291.844905,0.456008,3846,8434,ACS_16_5YR,3884,53.382469,0,8.949724,34.877599,2.790208,0,0,0,46.617531,2151 HPI,7.1,2011-2015,ACS_15_5YR_S0101,89.916551,2011-2015,ACS_15_5YR_B16002,0.067367,1213,2660.043012,LEHD 2015,73500,2011-2015,ACS_15_5YR_DP03,30.1,71027
136,06059032056,059,032056,Orange, ,92675,9310.074828,14.546992,7758,533,ACS_16_5YR,7072,69.916354,0,12.171907,14.017883,3.893856,0,0,0,30.083646,2152 HPI,8.1,2011-2015,ACS_15_5YR_S0101,97.142857,2011-2015,ACS_15_5YR_B16002,0.050591,2575,177.012541,LEHD 2015,131187,2011-2015,ACS_15_5YR_DP03,34.9,133594
137,06059052404,059,052404, ,Irvine,92618,5836.5088,9.119545,895,98,ACS_16_5YR,549,36.419753,0,0,63.580247,0,0,0,0,63.580247,2153 HPI,0,2011-2015,ACS_15_5YR_S0101,0, , ,0.092308,17954,1968.738572,LEHD 2015,0, , ,14.5,86859
138,06059052408,059,052408,Orange,Lake Forest,92630,966.127985,1.509575,6318,4185,ACS_16_5YR,6154,72.180451,1.961425,10.591697,12.340634,2.925793,0,0,0,27.819549,2154 HPI,16.2,2011-2015,ACS_15_5YR_S0101,96.984925,2011-2015,ACS_15_5YR_B16002,0.104446,11563,7659.771912,LEHD 2015,104063,2011-2015,ACS_15_5YR_DP03,20.8,107551
139,06059052415,059,052415,Orange,Lake Forest,92630,395.667614,0.618231,4263,6895,ACS_16_5YR,3944,74.92284,0,9.027778,13.117284,2.932099,0,0,0,25.07716,2155 HPI,15.2,2011-2015,ACS_15_5YR_S0101,98.346457,2011-2015,ACS_15_5YR_B16002,0.097551,453,732.73624,LEHD 2015,140517,2011-2015,ACS_15_5YR_DP03,21,133491
140,06059052416,059,052416,Orange,Lake Forest,92630,325.281791,0.508253,4325,8510,ACS_16_5YR,4006,54.393305,0,12.107741,33.498954,0,0,0,0,45.606695,2156 HPI,11.6,2011-2015,ACS_15_5YR_S0101,92.635025,2011-2015,ACS_15_5YR_B16002,0.048791,571,1123.456678,LEHD 2015,92500,2011-2015,ACS_15_5YR_DP03,26.4,105317
141,06059052417,059,052417,Orange,Irvine,92620,521.808179,0.815325,10214,12528,ACS_16_5YR,6771,51.118451,0,37.546915,7.07101,4.263624,0,0,0,48.881549,2157 HPI,18.9,2011-2015,ACS_15_5YR_S0101,91.332547,2011-2015,ACS_15_5YR_B16002,0.045092,723,886.762643,LEHD 2015,94444,2011-2015,ACS_15_5YR_DP03,23.9,98659
142,06059052418,059,052418,Orange,Irvine,92620,1554.034029,2.428178,17708,7293,ACS_16_5YR,12096,35.701245,2.639004,45.029046,11.435685,5.195021,0,0,0,64.298755,2158 HPI,4.8,2011-2015,ACS_15_5YR_S0101,87.756067,2011-2015,ACS_15_5YR_B16002,0.058025,3240,1334.333716,LEHD 2015,87554,2011-2015,ACS_15_5YR_DP03,29,88917
143,06059063202,059,063202,Orange,Costa Mesa,92627,244.772608,0.382457,3844,10051,ACS_16_5YR,3556,76.972158,0,3.016241,20.011601,0,0,0,0,23.027842,2159 HPI,14.3,2011-2015,ACS_15_5YR_S0101,92.493298,2011-2015,ACS_15_5YR_B16002,0.090347,371,970.043184,LEHD 2015,74839,2011-2015,ACS_15_5YR_DP03,22.5,86316
144,06059063301,059,063301,Orange,Costa Mesa,92627,226.425239,0.353789,3012,8514,ACS_16_5YR,2941,81.632653,0,4.081633,14.285714,0,0,0,0,18.367347,2160 HPI,5,2011-2015,ACS_15_5YR_S0101,99.34877,2011-2015,ACS_15_5YR_B16002,0.102564,2368,6693.24676,LEHD 2015,71324,2011-2015,ACS_15_5YR_DP03,14.6,80170
145,06059063302,059,063302,Orange,Costa Mesa,92627,332.636062,0.519744,4022,7738,ACS_16_5YR,4165,86.001489,0,0,11.193845,2.804666,0,0,0,13.998511,2161 HPI,10.4,2011-2015,ACS_15_5YR_S0101,99.60114,2011-2015,ACS_15_5YR_B16002,0.059131,2468,4748.492968,LEHD 2015,83274,2011-2015,ACS_15_5YR_DP03,23.2,101207
146,06059063400,059,063400,Orange,Newport Beach,92663,663.248884,1.036326,4780,4612,ACS_16_5YR,4795,91.337907,0,2.894511,5.767581,0,0,0,0,8.662093,2162 HPI,18.1,2011-2015,ACS_15_5YR_S0101,98.897059,2011-2015,ACS_15_5YR_B16002,0.066168,4262,4112.603982,LEHD 2015,123750,2011-2015,ACS_15_5YR_DP03,22,116121
147,06059063500,059,063500,Orange,Newport Beach,92663,957.625502,1.49629,6888,4603,ACS_16_5YR,5775,85.890002,0,3.479178,8.645229,1.985591,0,0,0,14.109998,2163 HPI,14.5,2011-2015,ACS_15_5YR_S0101,99.018325,2011-2015,ACS_15_5YR_B16002,0.081557,3713,2481.471091,LEHD 2015,110878,2011-2015,ACS_15_5YR_DP03,11.7,117389
148,06059011504,059,011504,Orange,Fullerton,92831,485.515956,0.758619,6283,8282,ACS_16_5YR,5473,41.313949,5.023923,23.905042,25.598086,4.158999,0,0,0,58.686051,2164 HPI,3.8,2011-2015,ACS_15_5YR_S0101,88.408644,2011-2015,ACS_15_5YR_B16002,0.113456,8074,10643.028173,LEHD 2015,31793,2011-2015,ACS_15_5YR_DP03,25.8,37781
149,06059011300,059,011300,Orange,Fullerton,92832,439.387197,0.686542,5309,7733,ACS_16_5YR,4379,62.309317,0,14.29242,20.840178,2.558085,0,0,0,37.690683,2165 HPI,13.2,2011-2015,ACS_15_5YR_S0101,95.805282,2011-2015,ACS_15_5YR_B16002,0.130327,4713,6864.83362,LEHD 2015,70804,2011-2015,ACS_15_5YR_DP03,19.3,71339
